"","datayear","region","districttype","district","free","sped","lep","enrll"
"1","05-06","Arrowhead","Charter","BIRCH GROVE COMMUNITY SCHOOL",18,3,0,32
"2","05-06","Arrowhead","Charter","DULUTH PUBLIC SCHOOLS ACADEMY",380,126,0,773
"3","05-06","Arrowhead","Charter","GREAT EXPECTATIONS",0,6,0,36
"4","05-06","Arrowhead","Charter","HARBOR CITY INTERNATIONAL CHARTER",79,40,3,205
"5","05-06","Arrowhead","Charter","LAKE SUPERIOR HIGH SCHOOL",48,21,0,86
"6","05-06","Arrowhead","Charter","NORTH SHORE COMMUNITY SCHOOL",99,21,0,253
"7","05-06","Arrowhead","Charter","NORTHERN LIGHTS COMMUNITY SCHOOL",29,19,0,81
"8","05-06","Arrowhead","Cooperatives","NORTHLAND LEARNING CENTER",78,65,0,133
"9","05-06","Arrowhead","Independent","AITKIN PUBLIC SCHOOL DISTRICT",486,162,0,1311
"10","05-06","Arrowhead","Independent","BARNUM PUBLIC SCHOOL DISTRICT",245,97,0,679
"11","05-06","Arrowhead","Independent","CARLTON PUBLIC SCHOOL DISTRICT",174,72,0,579
"12","05-06","Arrowhead","Independent","CHISHOLM PUBLIC SCHOOL DISTRICT",283,107,1,749
"13","05-06","Arrowhead","Independent","CLOQUET PUBLIC SCHOOL DISTRICT",785,269,2,2271
"14","05-06","Arrowhead","Independent","COOK COUNTY PUBLIC SCHOOLS",166,62,6,594
"15","05-06","Arrowhead","Independent","CROMWELL-WRIGHT PUBLIC SCHOOLS",128,38,0,313
"16","05-06","Arrowhead","Independent","DEER RIVER PUBLIC SCHOOL DISTRICT",551,157,0,970
"17","05-06","Arrowhead","Independent","DULUTH PUBLIC SCHOOL DISTRICT",3777,1295,51,10431
"18","05-06","Arrowhead","Independent","ELY PUBLIC SCHOOL DISTRICT",179,79,0,637
"19","05-06","Arrowhead","Independent","ESKO PUBLIC SCHOOL DISTRICT",100,116,1,1122
"20","05-06","Arrowhead","Independent","EVELETH-GILBERT SCHOOL DISTRICT",437,151,0,1327
"21","05-06","Arrowhead","Independent","FLOODWOOD PUBLIC SCHOOL DISTRICT",177,74,0,395
"22","05-06","Arrowhead","Independent","GRAND RAPIDS PUBLIC SCHOOL DISTRICT",1183,494,0,3872
"23","05-06","Arrowhead","Independent","GREENWAY PUBLIC SCHOOL DISTRICT",557,191,0,1262
"24","05-06","Arrowhead","Independent","HERMANTOWN PUBLIC SCHOOL DISTRICT",245,201,0,1994
"25","05-06","Arrowhead","Independent","HIBBING PUBLIC SCHOOL DISTRICT",918,311,4,2510
"26","05-06","Arrowhead","Independent","HILL CITY PUBLIC SCHOOL DISTRICT",181,55,0,328
"27","05-06","Arrowhead","Independent","INTERNATIONAL FALLS SCHOOL DISTRICT",412,155,8,1322
"28","05-06","Arrowhead","Independent","LAKE SUPERIOR PUBLIC SCHOOL DIST.",406,223,0,1575
"29","05-06","Arrowhead","Independent","LITTLEFORK-BIG FALLS SCHOOL DIST.",126,40,0,334
"30","05-06","Arrowhead","Independent","MCGREGOR PUBLIC SCHOOL DISTRICT",275,74,0,452
"31","05-06","Arrowhead","Independent","MESABI EAST SCHOOL DISTRICT",348,159,0,900
"32","05-06","Arrowhead","Independent","MOOSE LAKE PUBLIC SCHOOL DISTRICT",219,106,0,740
"33","05-06","Arrowhead","Independent","MOUNTAIN IRON-BUHL SCHOOL DISTRICT",201,122,0,624
"34","05-06","Arrowhead","Independent","NASHWAUK-KEEWATIN SCHOOL DISTRICT",285,120,0,625
"35","05-06","Arrowhead","Independent","NETT LAKE PUBLIC SCHOOL DISTRICT",53,10,0,71
"36","05-06","Arrowhead","Independent","PROCTOR PUBLIC SCHOOL DISTRICT",413,184,3,1754
"37","05-06","Arrowhead","Independent","SOUTH KOOCHICHING SCHOOL DISTRICT",194,73,0,365
"38","05-06","Arrowhead","Independent","ST. LOUIS COUNTY SCHOOL DISTRICT",904,337,0,2250
"39","05-06","Arrowhead","Independent","VIRGINIA PUBLIC SCHOOL DISTRICT",549,170,4,1567
"40","05-06","Arrowhead","Independent","WRENSHALL PUBLIC SCHOOL DISTRICT",126,40,0,364
"41","05-06","Central","Charter","GREAT RIVER EDUCATION CENTER",0,12,0,33
"42","05-06","Central","Charter","KALEIDOSCOPE CHARTER SCHOOL",24,25,0,221
"43","05-06","Central","Charter","STRIDE ACADEMY CHARTER SCHOOL",81,39,0,166
"44","05-06","Central","Charter","SWAN RIVER MONTESSORI CHARTER SCH",9,5,0,109
"45","05-06","Central","Cooperatives","CENTRAL MINNESOTA JT. POWERS DIST.",21,3,1,110
"46","05-06","Central","Ed Districts","BENTON-STEARNS ED. DISTRICT",11,27,0,27
"47","05-06","Central","Ed Districts","WEST CENTRAL EDUCATION DISTRICT",18,18,0,49
"48","05-06","Central","Independent","ALBANY PUBLIC SCHOOL DISTRICT",280,182,10,1567
"49","05-06","Central","Independent","ANNANDALE PUBLIC SCHOOL DISTRICT",383,212,12,1879
"50","05-06","Central","Independent","BECKER PUBLIC SCHOOL DISTRICT",418,301,26,2589
"51","05-06","Central","Independent","BELGRADE-BROOTEN-ELROSA SCHOOL DIST",316,84,28,748
"52","05-06","Central","Independent","BIG LAKE PUBLIC SCHOOL DISTRICT",585,390,56,3395
"53","05-06","Central","Independent","BUFFALO PUBLIC SCHOOL DISTRICT",1079,598,106,5432
"54","05-06","Central","Independent","DASSEL-COKATO PUBLIC SCHOOL DIST.",596,192,9,2275
"55","05-06","Central","Independent","DELANO PUBLIC SCHOOL DISTRICT",236,209,4,2050
"56","05-06","Central","Independent","ELK RIVER PUBLIC SCHOOL DISTRICT",1495,1327,304,11294
"57","05-06","Central","Independent","FOLEY PUBLIC SCHOOL DISTRICT",420,217,6,1662
"58","05-06","Central","Independent","HOLDINGFORD PUBLIC SCHOOL DISTRICT",210,98,0,1055
"59","05-06","Central","Independent","HOWARD LAKE-WAVERLY-WINSTED",224,127,23,996
"60","05-06","Central","Independent","KIMBALL PUBLIC SCHOOL DISTRICT",182,99,0,758
"61","05-06","Central","Independent","MAPLE LAKE PUBLIC SCHOOL DISTRICT",160,122,1,988
"62","05-06","Central","Independent","MELROSE PUBLIC SCHOOL DISTRICT",418,151,173,1417
"63","05-06","Central","Independent","MONTICELLO PUBLIC SCHOOL DISTRICT",718,534,101,3892
"64","05-06","Central","Independent","PAYNESVILLE PUBLIC SCHOOL DISTRICT",363,168,9,1087
"65","05-06","Central","Independent","ROCKFORD PUBLIC SCHOOL DISTRICT",383,201,34,1628
"66","05-06","Central","Independent","ROCORI PUBLIC SCHOOL DISTRICT",473,248,47,2318
"67","05-06","Central","Independent","SARTELL-ST. STEPHEN SCHOOL DISTRICT",331,318,25,2985
"68","05-06","Central","Independent","SAUK CENTRE PUBLIC SCHOOL DISTRICT",308,140,11,1054
"69","05-06","Central","Independent","SAUK RAPIDS PUBLIC SCHOOL DISTRICT",979,515,24,3712
"70","05-06","Central","Independent","ST. CLOUD PUBLIC SCHOOL DISTRICT",3322,1588,735,9302
"71","05-06","Central","Independent","ST. MICHAEL-ALBERTVILLE SCHOOL DIST",342,389,102,4168
"72","05-06","Central","Sped Coops","MEEKER & WRIGHT SPECIAL EDUCATION",15,70,0,89
"73","05-06","Central","Voc Coops","WRIGHT TECHNICAL CENTER",0,0,0,163
"74","05-06","East Central","Charter","TRIO WOLF CREEK DISTANCE LEARNING",8,2,0,89
"75","05-06","East Central","Independent","BRAHAM PUBLIC SCHOOL DISTRICT",310,86,8,903
"76","05-06","East Central","Independent","CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST",1234,460,79,4991
"77","05-06","East Central","Independent","CHISAGO LAKES SCHOOL DISTRICT",555,310,40,3569
"78","05-06","East Central","Independent","EAST CENTRAL SCHOOL DISTRICT",419,123,0,855
"79","05-06","East Central","Independent","HINCKLEY-FINLAYSON SCHOOL DISTRICT",457,86,11,1051
"80","05-06","East Central","Independent","ISLE PUBLIC SCHOOL DISTRICT",299,60,0,592
"81","05-06","East Central","Independent","MILACA PUBLIC SCHOOL DISTRICT",509,239,1,1898
"82","05-06","East Central","Independent","MORA PUBLIC SCHOOL DISTRICT",625,214,0,1883
"83","05-06","East Central","Independent","NORTH BRANCH PUBLIC SCHOOLS",846,450,92,3982
"84","05-06","East Central","Independent","OGILVIE PUBLIC SCHOOL DISTRICT",283,70,1,619
"85","05-06","East Central","Independent","ONAMIA PUBLIC SCHOOL DISTRICT",376,178,0,805
"86","05-06","East Central","Independent","PINE CITY PUBLIC SCHOOL DISTRICT",592,120,2,1663
"87","05-06","East Central","Independent","PRINCETON PUBLIC SCHOOL DISTRICT",714,396,21,3400
"88","05-06","East Central","Independent","RUSH CITY PUBLIC SCHOOL DISTRICT",274,76,0,981
"89","05-06","East Central","Independent","WILLOW RIVER PUBLIC SCHOOL DISTRICT",232,55,0,430
"90","05-06","East Central","Voc Coops","OAK LAND VOCATIONAL CENTER",37,20,0,309
"91","05-06","Headwater","Charter","NAYTAHWAUSH COMMUNITY SCHOOL",72,15,0,78
"92","05-06","Headwater","Charter","SCHOOLCRAFT LEARNING COMMUNITY CHTR",80,21,0,163
"93","05-06","Headwater","Charter","TREKNORTH HIGH SCHOOL",66,20,0,127
"94","05-06","Headwater","Charter","VOYAGEURS EXPEDITIONARY",40,17,0,69
"95","05-06","Headwater","Independent","BAGLEY PUBLIC SCHOOL DISTRICT",567,154,0,1064
"96","05-06","Headwater","Independent","BEMIDJI PUBLIC SCHOOL DISTRICT",2025,703,17,4766
"97","05-06","Headwater","Independent","BLACKDUCK PUBLIC SCHOOL DISTRICT",367,117,2,710
"98","05-06","Headwater","Independent","CLEARBROOK-GONVICK SCHOOL DISTRICT",223,68,2,484
"99","05-06","Headwater","Independent","KELLIHER PUBLIC SCHOOL DISTRICT",200,42,0,257
"100","05-06","Headwater","Independent","LAKE OF THE WOODS SCHOOL DISTRICT",260,65,0,633
"101","05-06","Headwater","Independent","LAPORTE PUBLIC SCHOOL DISTRICT",153,62,0,289
"102","05-06","Headwater","Independent","MAHNOMEN PUBLIC SCHOOL DISTRICT",387,126,0,664
"103","05-06","Headwater","Independent","NEVIS PUBLIC SCHOOL DISTRICT",235,93,0,512
"104","05-06","Headwater","Independent","PARK RAPIDS PUBLIC SCHOOL DISTRICT",655,275,0,1591
"105","05-06","Headwater","Independent","RED LAKE PUBLIC SCHOOL DISTRICT",1097,202,256,1381
"106","05-06","Headwater","Independent","WAUBUN PUBLIC SCHOOL DISTRICT",365,89,0,606
"107","05-06","Headwater","Sped Coops","BEMIDJI REGIONAL INTERDIST. COUNCIL",0,0,0,0
"108","05-06","Mid-Minnesota","Charter","NEW CENTURY CHARTER SCHOOL",46,21,0,155
"109","05-06","Mid-Minnesota","Independent","A.C.G.C.",318,109,4,846
"110","05-06","Mid-Minnesota","Independent","BIRD ISLAND-OLIVIA-LAKE LILLIAN",293,90,64,855
"111","05-06","Mid-Minnesota","Independent","BUFFALO LAKE-HECTOR SCHOOL DISTRICT",196,75,69,560
"112","05-06","Mid-Minnesota","Independent","EDEN VALLEY-WATKINS SCHOOL DISTRICT",323,123,0,845
"113","05-06","Mid-Minnesota","Independent","GLENCOE-SILVER LAKE SCHOOL DISTRICT",529,204,143,1671
"114","05-06","Mid-Minnesota","Independent","HUTCHINSON PUBLIC SCHOOL DISTRICT",680,318,91,3042
"115","05-06","Mid-Minnesota","Independent","LESTER PRAIRIE PUBLIC SCHOOL DIST.",117,46,15,468
"116","05-06","Mid-Minnesota","Independent","LITCHFIELD PUBLIC SCHOOL DISTRICT",510,254,36,1836
"117","05-06","Mid-Minnesota","Independent","MCLEOD WEST PUBLIC SCHOOL DISTRICT",122,43,12,438
"118","05-06","Mid-Minnesota","Independent","NEW LONDON-SPICER SCHOOL DISTRICT",285,170,11,1587
"119","05-06","Mid-Minnesota","Independent","RENVILLE COUNTY WEST SCHOOL DIST.",268,95,71,648
"120","05-06","Mid-Minnesota","Independent","WILLMAR PUBLIC SCHOOL DISTRICT",1800,554,541,4211
"121","05-06","Mid-Minnesota","Sped Coops","CROW RIVER SPECIAL EDUCATION COOP.",0,16,0,17
"122","05-06","North Central","Charter","CROSSLAKE COMMUNITY CHARTER SCHOOL",46,20,0,127
"123","05-06","North Central","Charter","EMILY CHARTER SCHOOL",45,9,0,72
"124","05-06","North Central","Charter","PILLAGER AREA CHARTER SCHOOL",33,15,0,42
"125","05-06","North Central","Ed Districts","FRESHWATER ED. DIST.",86,30,0,144
"126","05-06","North Central","Ed Districts","MID STATE EDUCATION DISTRICT",12,22,0,22
"127","05-06","North Central","Independent","BERTHA-HEWITT PUBLIC SCHOOL DIST.",314,79,0,476
"128","05-06","North Central","Independent","BRAINERD PUBLIC SCHOOL DISTRICT",2451,1026,2,7038
"129","05-06","North Central","Independent","BROWERVILLE PUBLIC SCHOOL DISTRICT",230,59,0,505
"130","05-06","North Central","Independent","CASS LAKE-BENA PUBLIC SCHOOLS",737,207,0,1050
"131","05-06","North Central","Independent","CROSBY-IRONTON PUBLIC SCHOOL DIST.",522,191,3,1258
"132","05-06","North Central","Independent","EAGLE VALLEY PUBLIC SCHOOL DISTRICT",193,45,0,328
"133","05-06","North Central","Independent","LITTLE FALLS PUBLIC SCHOOL DISTRICT",1012,368,17,2638
"134","05-06","North Central","Independent","LONG PRAIRIE-GREY EAGLE SCHOOL DIST",638,155,158,1278
"135","05-06","North Central","Independent","MENAHGA PUBLIC SCHOOL DISTRICT",369,114,0,729
"136","05-06","North Central","Independent","NORTHLAND COMMUNITY SCHOOLS",331,126,0,523
"137","05-06","North Central","Independent","PEQUOT LAKES PUBLIC SCHOOLS",466,194,0,1518
"138","05-06","North Central","Independent","PIERZ PUBLIC SCHOOL DISTRICT",444,115,2,1045
"139","05-06","North Central","Independent","PILLAGER PUBLIC SCHOOL DISTRICT",342,142,0,728
"140","05-06","North Central","Independent","PINE RIVER-BACKUS SCHOOL DISTRICT",507,190,2,1050
"141","05-06","North Central","Independent","ROYALTON PUBLIC SCHOOL DISTRICT",232,113,0,686
"142","05-06","North Central","Independent","SEBEKA PUBLIC SCHOOL DISTRICT",320,67,0,555
"143","05-06","North Central","Independent","STAPLES-MOTLEY SCHOOL DISTRICT",800,197,12,1404
"144","05-06","North Central","Independent","SWANVILLE PUBLIC SCHOOL DISTRICT",167,38,0,353
"145","05-06","North Central","Independent","UPSALA PUBLIC SCHOOL DISTRICT",94,41,0,387
"146","05-06","North Central","Independent","VERNDALE PUBLIC SCHOOL DISTRICT",246,61,0,440
"147","05-06","North Central","Independent","WADENA-DEER CREEK SCHOOL DISTRICT",616,192,0,1207
"148","05-06","North Central","Independent","WALKER-HACKENSACK-AKELEY SCHL. DIST",410,158,0,955
"149","05-06","Northwest","Charter","RIDGEWAY COMMUNITY SCHOOL",28,7,0,75
"150","05-06","Northwest","Independent","ADA-BORUP PUBLIC SCHOOL DISTRICT",223,54,12,547
"151","05-06","Northwest","Independent","BADGER PUBLIC SCHOOL DISTRICT",116,24,0,210
"152","05-06","Northwest","Independent","CLIMAX PUBLIC SCHOOL DISTRICT",83,27,0,147
"153","05-06","Northwest","Independent","CROOKSTON PUBLIC SCHOOL DISTRICT",596,251,100,1414
"154","05-06","Northwest","Independent","EAST GRAND FORKS PUBLIC SCHOOL DIST",578,234,30,1757
"155","05-06","Northwest","Independent","FERTILE-BELTRAMI SCHOOL DISTRICT",206,69,0,500
"156","05-06","Northwest","Independent","FISHER PUBLIC SCHOOL DISTRICT",105,50,0,304
"157","05-06","Northwest","Independent","FOSSTON PUBLIC SCHOOL DISTRICT",275,80,0,633
"158","05-06","Northwest","Independent","GOODRIDGE PUBLIC SCHOOL DISTRICT",97,22,0,179
"159","05-06","Northwest","Independent","GREENBUSH-MIDDLE RIVER SCHOOL DIST.",198,67,0,468
"160","05-06","Northwest","Independent","GRYGLA PUBLIC SCHOOL DISTRICT",105,31,0,190
"161","05-06","Northwest","Independent","KITTSON CENTRAL SCHOOL DISTRICT",116,49,0,358
"162","05-06","Northwest","Independent","LANCASTER PUBLIC SCHOOL DISTRICT",107,44,0,204
"163","05-06","Northwest","Independent","MARSHALL COUNTY CENTRAL SCHOOLS",165,59,0,355
"164","05-06","Northwest","Independent","NORMAN COUNTY EAST SCHOOL DISTRICT",196,49,1,361
"165","05-06","Northwest","Independent","NORMAN COUNTY WEST SCHOOL DISTRICT",153,52,13,321
"166","05-06","Northwest","Independent","OKLEE PUBLIC SCHOOL DISTRICT",108,30,2,177
"167","05-06","Northwest","Independent","PLUMMER PUBLIC SCHOOL DISTRICT",103,31,0,174
"168","05-06","Northwest","Independent","RED LAKE FALLS PUBLIC SCHOOL DIST.",158,49,0,392
"169","05-06","Northwest","Independent","ROSEAU PUBLIC SCHOOL DISTRICT",359,194,1,1380
"170","05-06","Northwest","Independent","STEPHEN-ARGYLE CENTRAL SCHOOLS",164,27,0,386
"171","05-06","Northwest","Independent","THIEF RIVER FALLS SCHOOL DISTRICT",640,278,39,2023
"172","05-06","Northwest","Independent","TRI-COUNTY SCHOOL DISTRICT",132,53,0,259
"173","05-06","Northwest","Independent","WARREN-ALVARADO-OSLO SCHOOL DIST.",210,89,38,508
"174","05-06","Northwest","Independent","WARROAD PUBLIC SCHOOL DISTRICT",388,162,25,1237
"175","05-06","Northwest","Independent","WIN-E-MAC SCHOOL DISTRICT",172,66,2,531
"176","05-06","South Central","Charter","EDVISIONS OFF CAMPUS SCHOOL",5,7,0,27
"177","05-06","South Central","Charter","GREEN ISLE COMMUNITY SCHOOL",11,8,2,61
"178","05-06","South Central","Charter","LAFAYETTE PUBLIC CHARTER SCHOOL",42,12,0,94
"179","05-06","South Central","Charter","MINNESOTA NEW COUNTRY SCHOOL",27,26,0,112
"180","05-06","South Central","Charter","RIVERBEND ACADEMY",58,27,0,108
"181","05-06","South Central","Charter","TEAM ACADEMY",26,7,1,72
"182","05-06","South Central","Ed Districts","MN VALLEY EDUCATION DISTRICT",29,31,0,47
"183","05-06","South Central","Ed Districts","RIVER BEND EDUCATION DISTRICT",45,26,0,99
"184","05-06","South Central","Independent","BLUE EARTH AREA PUBLIC SCHOOL",505,183,50,1272
"185","05-06","South Central","Independent","BUTTERFIELD PUBLIC SCHOOL DISTRICT",101,32,35,211
"186","05-06","South Central","Independent","CLEVELAND PUBLIC SCHOOL DISTRICT",92,37,0,409
"187","05-06","South Central","Independent","COMFREY PUBLIC SCHOOL DISTRICT",58,20,8,151
"188","05-06","South Central","Independent","FAIRMONT AREA SCHOOL DISTRICT",672,241,92,1750
"189","05-06","South Central","Independent","G.F.W.",278,75,32,814
"190","05-06","South Central","Independent","GRANADA HUNTLEY-EAST CHAIN #2536",121,38,0,297
"191","05-06","South Central","Independent","JANESVILLE-WALDORF-PEMBERTON",138,86,1,543
"192","05-06","South Central","Independent","LAKE CRYSTAL-WELLCOME MEMORIAL",212,130,0,771
"193","05-06","South Central","Independent","LECENTER PUBLIC SCHOOL DISTRICT",185,76,58,645
"194","05-06","South Central","Independent","LESUEUR-HENDERSON SCHOOL DISTRICT",382,194,102,1254
"195","05-06","South Central","Independent","MADELIA PUBLIC SCHOOL DISTRICT",234,70,74,577
"196","05-06","South Central","Independent","MANKATO PUBLIC SCHOOL DISTRICT",1953,961,312,6935
"197","05-06","South Central","Independent","MAPLE RIVER SCHOOL DISTRICT",394,205,2,1227
"198","05-06","South Central","Independent","MARTIN COUNTY WEST SCHOOL DISTRICT",312,114,0,866
"199","05-06","South Central","Independent","MONTGOMERY-LONSDALE SCHOOL DISTRICT",278,122,52,1021
"200","05-06","South Central","Independent","N.R.H.E.G. SCHOOL DISTRICT",261,146,0,972
"201","05-06","South Central","Independent","NEW PRAGUE AREA SCHOOLS",333,258,3,3206
"202","05-06","South Central","Independent","NEW ULM PUBLIC SCHOOL DISTRICT",368,279,12,2166
"203","05-06","South Central","Independent","NICOLLET PUBLIC SCHOOL DISTRICT",57,38,0,304
"204","05-06","South Central","Independent","SIBLEY EAST SCHOOL DISTRICT",430,142,213,1257
"205","05-06","South Central","Independent","SLEEPY EYE PUBLIC SCHOOL DISTRICT",334,60,202,689
"206","05-06","South Central","Independent","SPRINGFIELD PUBLIC SCHOOL DISTRICT",185,56,7,624
"207","05-06","South Central","Independent","ST. CLAIR PUBLIC SCHOOL DISTRICT",134,81,0,639
"208","05-06","South Central","Independent","ST. JAMES PUBLIC SCHOOL DISTRICT",563,136,220,1234
"209","05-06","South Central","Independent","ST. PETER PUBLIC SCHOOL DISTRICT",520,291,111,1860
"210","05-06","South Central","Independent","TRUMAN PUBLIC SCHOOL DISTRICT",172,66,4,363
"211","05-06","South Central","Independent","UNITED SOUTH CENTRAL SCHOOL DIST.",398,117,17,876
"212","05-06","South Central","Independent","WASECA PUBLIC SCHOOL DISTRICT",540,292,130,1976
"213","05-06","South Central","Independent","WATERVILLE-ELYSIAN-MORRISTOWN",235,169,26,995
"214","05-06","South Central","Sped Coops","SOUTHERN PLAINS EDUCATION COOP.",37,24,0,85
"215","05-06","Southeast","Charter","ARTECH",5,21,1,104
"216","05-06","Southeast","Charter","BLUFFVIEW MONTESSORI",40,25,0,193
"217","05-06","Southeast","Charter","DAKOTA AREA COMMUNITY CHARTER SCH",11,8,0,64
"218","05-06","Southeast","Charter","DISCOVERY PUBLIC SCHOOL FARIBAULT",13,9,4,24
"219","05-06","Southeast","Charter","LACRESCENT MONTESSORI ACADEMY",11,0,0,69
"220","05-06","Southeast","Charter","NERSTRAND CHARTER SCHOOL",13,13,0,153
"221","05-06","Southeast","Charter","PRAIRIE CREEK COMMUNITY SCHOOL",9,14,0,112
"222","05-06","Southeast","Charter","RECOVERY SCHOOL OF SOUTHERN MN",23,16,0,37
"223","05-06","Southeast","Charter","RIVERWAY LEARNING COMMUNITY CHTR",48,13,0,81
"224","05-06","Southeast","Charter","ROCHESTER OFF-CAMPUS CHARTER HIGH",66,30,0,117
"225","05-06","Southeast","Charter","STUDIO ACADEMY CHARTER SCHOOL",13,25,0,123
"226","05-06","Southeast","Charter","VILLAGE SCHOOL OF NORTHFIELD",19,13,0,41
"227","05-06","Southeast","Ed Districts","GOODHUE COUNTY EDUCATION  DIST.",22,44,0,44
"228","05-06","Southeast","Ed Districts","HIAWATHA VALLEY ED. DISTRICT",30,16,0,84
"229","05-06","Southeast","Ed Districts","ROOT RIVER EDUCATION DISTRICT",6,12,0,12
"230","05-06","Southeast","Ed Districts","ZUMBRO EDUCATION DISTRICT",42,32,0,78
"231","05-06","Southeast","Independent","ALBERT LEA PUBLIC SCHOOL DISTRICT",1343,581,183,3536
"232","05-06","Southeast","Independent","ALDEN-CONGER PUBLIC SCHOOL DISTRICT",121,79,1,408
"233","05-06","Southeast","Independent","AUSTIN PUBLIC SCHOOL DISTRICT",1729,518,474,4213
"234","05-06","Southeast","Independent","BLOOMING PRAIRIE PUBLIC SCHOOL DIST",165,74,14,719
"235","05-06","Southeast","Independent","BYRON PUBLIC SCHOOL DISTRICT",158,134,0,1587
"236","05-06","Southeast","Independent","CALEDONIA PUBLIC SCHOOL DISTRICT",238,121,0,855
"237","05-06","Southeast","Independent","CANNON FALLS PUBLIC SCHOOL DISTRICT",243,155,6,1359
"238","05-06","Southeast","Independent","CHATFIELD PUBLIC SCHOOLS",136,96,3,923
"239","05-06","Southeast","Independent","DOVER-EYOTA PUBLIC SCHOOL DISTRICT",160,111,0,1130
"240","05-06","Southeast","Independent","ELGIN-MILLVILLE PUBLIC SCHOOL DIST.",89,63,0,486
"241","05-06","Southeast","Independent","FARIBAULT PUBLIC SCHOOL DISTRICT",1513,523,547,4000
"242","05-06","Southeast","Independent","FILLMORE CENTRAL",185,81,0,640
"243","05-06","Southeast","Independent","GLENVILLE-EMMONS  SCHOOL DISTRICT",116,59,0,362
"244","05-06","Southeast","Independent","GOODHUE PUBLIC SCHOOL DISTRICT",105,52,29,614
"245","05-06","Southeast","Independent","GRAND MEADOW PUBLIC SCHOOL DISTRICT",96,62,0,356
"246","05-06","Southeast","Independent","HAYFIELD PUBLIC SCHOOL DISTRICT",232,95,20,901
"247","05-06","Southeast","Independent","HOUSTON PUBLIC SCHOOL DISTRICT",164,103,0,1097
"248","05-06","Southeast","Independent","KASSON-MANTORVILLE SCHOOL DIST.",209,119,25,1977
"249","05-06","Southeast","Independent","KENYON-WANAMINGO SCHOOL DISTRICT",185,92,20,884
"250","05-06","Southeast","Independent","KINGSLAND PUBLIC SCHOOL DISTRICT",173,95,0,810
"251","05-06","Southeast","Independent","LACRESCENT-HOKAH SCHOOL DISTRICT",219,134,0,1459
"252","05-06","Southeast","Independent","LAKE CITY PUBLIC SCHOOL DISTRICT",229,179,25,1351
"253","05-06","Southeast","Independent","LANESBORO PUBLIC SCHOOL DISTRICT",139,35,0,363
"254","05-06","Southeast","Independent","LEROY PUBLIC SCHOOL DISTRICT",137,46,1,339
"255","05-06","Southeast","Independent","LEWISTON-ALTURA PUBLIC SCHOOL DIST.",252,101,13,741
"256","05-06","Southeast","Independent","LYLE PUBLIC SCHOOL DISTRICT",108,33,0,228
"257","05-06","Southeast","Independent","MABEL-CANTON PUBLIC SCHOOL DIST.",101,44,0,345
"258","05-06","Southeast","Independent","MEDFORD PUBLIC SCHOOL DISTRICT",152,62,16,727
"259","05-06","Southeast","Independent","NORTHFIELD PUBLIC SCHOOL DISTRICT",647,416,237,3852
"260","05-06","Southeast","Independent","OWATONNA PUBLIC SCHOOL DISTRICT",1408,540,338,4934
"261","05-06","Southeast","Independent","PINE ISLAND PUBLIC SCHOOL DIST.",216,91,0,1232
"262","05-06","Southeast","Independent","PLAINVIEW PUBLIC SCHOOL DISTRICT",161,113,39,1093
"263","05-06","Southeast","Independent","RED WING PUBLIC SCHOOL DISTRICT",583,328,59,2868
"264","05-06","Southeast","Independent","ROCHESTER PUBLIC SCHOOL DISTRICT",4240,1670,2049,15797
"265","05-06","Southeast","Independent","RUSHFORD-PETERSON PUBLIC SCHLS.",230,90,0,653
"266","05-06","Southeast","Independent","SOUTHLAND PUBLIC SCHOOL DISTRICT",117,79,4,623
"267","05-06","Southeast","Independent","SPRING GROVE SCHOOL DISTRICT",100,29,1,334
"268","05-06","Southeast","Independent","ST. CHARLES PUBLIC SCHOOL DISTRICT",263,95,44,1047
"269","05-06","Southeast","Independent","STEWARTVILLE PUBLIC SCHOOL DISTRICT",292,154,3,1731
"270","05-06","Southeast","Independent","TRITON SCHOOL DISTRICT",330,125,89,1075
"271","05-06","Southeast","Independent","WABASHA-KELLOGG PUBLIC SCHOOL DIST.",186,76,0,662
"272","05-06","Southeast","Independent","WINONA AREA PUBLIC SCHOOL DISTRICT",1288,570,131,3759
"273","05-06","Southeast","Independent","ZUMBROTA-MAZEPPA SCHOOL DISTRICT",222,122,5,1149
"274","05-06","Southeast","State Operated","MINNESOTA STATE ACADEMIES",148,183,0,183
"275","05-06","Southwest","Charter","ECI' NOMPA WOONSPE",6,10,0,34
"276","05-06","Southwest","Charter","MILROY AREA CHARTER SCHOOL",25,3,2,45
"277","05-06","Southwest","Charter","WORTHINGTON AREA LANGUAGE ACADEMY",78,5,36,84
"278","05-06","Southwest","Charter","YANKTON COUNTRY CHARTER SCHOOL",8,7,0,37
"279","05-06","Southwest","Independent","ADRIAN PUBLIC SCHOOL DISTRICT",229,64,3,629
"280","05-06","Southwest","Independent","BALATON PUBLIC SCHOOL DISTRICT",39,8,3,78
"281","05-06","Southwest","Independent","BREWSTER PUBLIC SCHOOL DISTRICT",63,22,6,142
"282","05-06","Southwest","Independent","CEDAR MOUNTAIN SCHOOL DISTRICT",148,82,4,402
"283","05-06","Southwest","Independent","EDGERTON PUBLIC SCHOOL DISTRICT",110,46,3,277
"284","05-06","Southwest","Independent","ELLSWORTH PUBLIC SCHOOL DISTRICT",60,33,0,186
